eGRID2019 Plant file sequence number,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Utility ID,Plant county name,Plant latitude,Plant longitude,Number of units,Plant primary coal/oil/gas/ other fossil fuel category
SEQPLT19,YEAR,PSTATABB,PNAME,ORISPL,UTLSRVNM,UTLSRVID,CNTYNAME,LAT,LON,NUMUNT,PLFUELCT
5028,2019,MD,Presbyterian Senior Living Service,60447,Terraform Arcadia,63249,Baltimore,39.4476,-76.516324,1,SOLAR
5029,2019,MD,Queen Anne's County,58631,Tesla Inc.,60947,Queen Annes,39.031667,-76.016389,1,SOLAR
5030,2019,MD,Riverside (MD),1559,Constellation Power Source Gen,4161,Baltimore,39.2369,-76.5133,4,OIL
5031,2019,MD,Rock Hall,58241,Terraform Arcadia,63249,Kent,39.144369,-76.231644,1,SOLAR
5032,2019,MD,Rock Springs Generating Facility,7835,Essential Power Rock Springs LLC,56386,Cecil,39.71901,-76.15976,4,GAS
5033,2019,MD,Rockfish Solar LLC,59811,Rockfish Solar LLC,59589,Charles,38.591545,-76.87486,1,SOLAR
5034,2019,MD,"Roth Rock North Wind Farm, LLC",57240,Roth Rock Wind Farm LLC,56603,Garrett,39.287222,-79.434444,1,WIND
5035,2019,MD,Roth Rock Wind Farm LLC,57239,Roth Rock Wind Farm LLC,56603,Garrett,39.254444,-79.467222,1,WIND
5036,2019,MD,Sheriff Road,63654,Sheriff Rd Solar LLC,63357,Prince Georges,38.911287,-76.894882,1,SOLAR
5037,2019,MD,Smith Island,6391,A & N Electric Coop,84,Somerset,37.9955,-76.038881,2,OIL
5038,2019,MD,Sod Run WTP A,60669,"Constellation Solar MC, LLC",61419,Harford,39.436,-76.22,1,SOLAR
5039,2019,MD,Sol Phoenix,62331,Greenbacker Renewable Energy Corporation,60025,Prince Georges,38.85,-76.95,1,SOLAR
5040,2019,MD,Solar Hagerstown,62912,Greenbacker Renewable Energy Corporation,60025,Washington,39.64913,-77.67837,1,SOLAR
5041,2019,MD,Spruce - WCMD - Creek,63525,GSRP,61944,Washington,39.67185,-77.82329,1,SOLAR
5042,2019,MD,Spruce - WCMD - Resh I,63526,GSRP,61944,Washington,39.68185,-77.80145,1,SOLAR
5043,2019,MD,Spruce - WCMD - Rubble I,63524,GSRP,61944,Washington,39.61849,-77.82332,1,SOLAR
5044,2019,MD,Spruce - WCMD - Rubble II,63523,GSRP,61944,Washington,39.62143,-77.82543,1,SOLAR
5045,2019,MD,"Synergen Panorama, LLC CSG",62327,Nautilus Solar Solutions,61227,Prince Georges,38.772107,-76.973379,1,SOLAR
5046,2019,MD,Terrapin Hills Wind Farm,60211,Innogy Renewables US LLC,61853,Garrett,39.688736,-79.33756,1,WIND
5047,2019,MD,The Clorox Company,60461,Tesla Inc.,60947,Harford,39.472128,-76.201342,1,SOLAR
5048,2019,MD,Timonium Fairgrounds,63904,Madison Energy Holdings LLC,62915,Baltimore,39.447,-76.63,1,SOLAR
5049,2019,MD,Town of Chestertown- Chestertown WWTP,60096,Tesla Inc.,60947,Kent,39.199453,-76.076693,1,SOLAR
5050,2019,MD,UMCES Ground Mount,62405,Standard Solar,60531,Dorchester,38.583064,-76.13475,1,SOLAR
5051,2019,MD,UMCP CHP Plant,56038,Trigen-Cinergy Solutions College Park,19165,Prince Georges,38.985844,-76.935478,3,GAS
5052,2019,MD,UMES (MD) - Princess Anne,59749,"NVT LICENSES, LLC",58473,Somerset,38.20257,-75.6764,1,SOLAR
5053,2019,MD,UMMS at Pocomoke,58329,Constellation Solar Maryland II LLC,58304,Somerset,38.098056,-75.611111,1,SOLAR
5054,2019,MD,Upper Marlboro 1 CSG,63075,"Forefront Power, LLC",62856,Prince Georges,38.789216,-76.800911,1,SOLAR
5055,2019,MD,Vienna,1564,NRG Vienna Operations Inc,19830,Dorchester,38.4878,-75.8208,1,OIL
5056,2019,MD,Westport,1560,Constellation Power Source Gen,4161,Baltimore City,39.26604,-76.629537,1,GAS
5057,2019,MD,Wheelabrator Baltimore Refuse,10629,Wheelabrator Environmental Systems,20541,Baltimore City,39.266041,-76.629653,3,BIOMASS
5058,2019,MD,White CSG,63085,"Forefront Power, LLC",62856,Baltimore,39.205804,-76.480453,1,SOLAR
5059,2019,MD,White Marsh Mall,63289,White Marsh Mall,63062,Baltimore,39.37614,-76.46813,1,SOLAR
5060,2019,MD,Wicomico,56680,Industrial Power Generating Company LLC,55938,Wicomico,38.3847,-75.6344,18,BIOMASS
5061,2019,MD,Wildcat Point Generation Facility,59220,Old Dominion Electric Coop,40229,Cecil,39.719364,-76.161625,2,GAS
5062,2019,MD,Wor-Wic Community College - Offsite,63512,Tesla Inc.,60947,Wicomico,38.413274,-75.690118,1,SOLAR
5063,2019,MD,Wye Mills VNEM CSG,60604,Tesla Inc.,60947,Queen Annes,38.94037,-76.045658,1,SOLAR
5064,2019,ME,Androscoggin 3,1480,Brookfield White Pine Hydro LLC,39006,Androscoggin,44.135332,-70.201499,1,HYDRO
5065,2019,ME,Androscoggin Energy,55031,Verso Paper Androscoggin LLC,55738,Franklin,44.506315,-70.242312,3,GAS
5066,2019,ME,Androscoggin Mill,54085,Verso Paper Androscoggin LLC,55738,Franklin,44.506273,-70.239474,5,BIOMASS
5067,2019,ME,Anson Abenaki Hydros,10186,Eagle Creek RE LLC,57280,Somerset,44.7975,-69.8867,14,HYDRO
5068,2019,ME,Athens Energy,60457,"Athens Energy, LLC",60242,Somerset,44.945514,-69.660705,1,BIOMASS
5069,2019,ME,Augusta PV - BD Solar Augusta LLC,63895,BD Solar Augusta LLC,63567,Kennebec,44.328,-69.731,1,SOLAR
5070,2019,ME,Aziscohos Hydroelectric Project,50999,Brookfield White Pine Hydro LLC,39006,Oxford,44.9439,-70.9975,1,HYDRO
5071,2019,ME,Bar Harbor,1466,Versant Power,1179,Hancock,44.3817,-68.2869,4,OIL
5072,2019,ME,Bar Mills,1481,Brookfield White Pine Hydro LLC,39006,York,43.6136,-70.5525,2,HYDRO
5073,2019,ME,Barker Lower,10728,KEI (Maine) Power Management (III) LLC,56838,Androscoggin,44.0867,-70.2297,1,HYDRO
5074,2019,ME,Basin Mills,783,Versant Power,1179,Penobscot,44.875,-68.673055,3,HYDRO
5075,2019,ME,Bates Mill Upper,7044,Lewiston City of,10963,Androscoggin,44.095876,-70.219009,3,HYDRO
5076,2019,ME,Beaver Ridge Wind,57130,Beaver Ridge Wind LLC,56439,Waldo,44.4967,-69.35,1,WIND
5077,2019,ME,Benton Falls Associates,10523,Essex Hydro Associates LLC,55753,Kennebec,44.580175,-69.55452,2,HYDRO
5078,2019,ME,Bingham Wind,57531,Novatus Energy,60453,Piscataquis,45.103333,-69.761944,1,WIND
5079,2019,ME,Bonny Eagle,1482,Brookfield White Pine Hydro LLC,39006,York,43.687688,-70.611553,6,HYDRO
5080,2019,ME,Bowers Wind Project,57088,"First Wind O&M, LLC",59155,Penobscot,45.414444,-68.038055,1,WIND
5081,2019,ME,Brassua Hydroelectric Project,10555,Brassua Hydroelectric LP,2179,Somerset,45.6603,-69.812168,1,HYDRO
5082,2019,ME,Brunswick Hydro,1483,Brookfield White Pine Hydro LLC,39006,Cumberland,43.920486,-69.967819,3,HYDRO
5083,2019,ME,Bucksport Generation LLC,50243,Bucksport Generation LLC,9303,Hancock,44.5738,-68.8046,1,GAS
5084,2019,ME,Bull Hill Wind Project,57083,"First Wind O&M, LLC",59155,Hancock,44.723056,-68.2425,1,WIND
5085,2019,ME,Canton Mountain Wind,58620,Canton Mountain Wind LLC,58574,Oxford,44.514722,-70.303056,1,WIND
5086,2019,ME,Cape Gas Turbine,1484,FPL Energy Cape LLC,14876,Cumberland,43.6436,-70.2544,2,OIL
5087,2019,ME,Caribou Generation Station,1513,Merlin One LLC,60160,Aroostook,46.848,-68.0026,8,OIL
5088,2019,ME,Cataract Hydro,1486,Brookfield White Pine Hydro LLC,39006,York,43.4956,-70.4472,1,HYDRO
5089,2019,ME,CED Denmark Solar Hybrid,63898,Consolidated Edison Development Inc.,56769,Oxford,43.971584,-70.822728,2,
5090,2019,ME,Charles E Monty,805,Brookfield White Pine Hydro LLC,39006,Androscoggin,44.099461,-70.220851,2,HYDRO
5091,2019,ME,Continental Mills,1487,Lewiston City of,10963,Androscoggin,44.092001,-70.221923,5,HYDRO
5092,2019,ME,Deer Rips,1488,Brookfield White Pine Hydro LLC,39006,Androscoggin,44.134572,-70.203715,7,HYDRO
5093,2019,ME,East Millinocket Mill,55830,Katahdin KI 50 LLC,61336,Penobscot,45.6219,-68.5756,3,BIOMASS
5094,2019,ME,Eastern Maine Medical Center,58153,Eastern Maine Medical Center,58122,Penobscot,44.808333,-68.750833,1,GAS
5095,2019,ME,Eastport,1468,Versant Power,1179,Washington,44.9136,-67.0033,3,OIL
5096,2019,ME,Ellsworth Hydro Station,1469,"Brookfield Black Bear Hydro, LLC",59178,Hancock,44.5442,-68.4306,4,HYDRO
5097,2019,ME,Fairfield PV - BD Solar Fairfield LLC,63896,BD Solar Fairfield LLC,63566,Somerset,44.634,-69.597,1,SOLAR
5098,2019,ME,Flos Inn Diesel,1514,Merlin One LLC,60160,Aroostook,46.71,-67.9556,3,OIL
5099,2019,ME,Fort Halifax,1490,Brookfield White Pine Hydro LLC,39006,Kennebec,44.538611,-69.627777,2,HYDRO
5100,2019,ME,Fox Island Wind LLC,57354,Fox Island Wind LLC,56693,Knox,44.094167,-68.865833,1,WIND
5101,2019,ME,Gardiner,50688,KEI (Maine) Power Management (III) LLC,56838,Kennebec,44.221796,-69.785675,1,HYDRO
5102,2019,ME,Great Lakes Hydro America - ME,54134,Great Lakes Hydro America LLC,7595,Penobscot,45.647179,-68.704368,31,HYDRO
5103,2019,ME,Gulf Island,1491,Brookfield White Pine Hydro LLC,39006,Androscoggin,44.152854,-70.209378,3,HYDRO
5104,2019,ME,Hancock Wind Plant,58686,Novatus Energy,60453,Hancock,44.760833,-68.146944,1,WIND
5105,2019,ME,Harris Hydro,1492,Brookfield White Pine Hydro LLC,39006,Somerset,45.4592,-69.8658,4,HYDRO
5106,2019,ME,Hill Mill,7048,Lewiston City of,10963,Androscoggin,44.092904,-70.216965,6,HYDRO
5107,2019,ME,Hiram,1493,Brookfield White Pine Hydro LLC,39006,Cumberland,43.8525,-70.7969,2,HYDRO
5108,2019,ME,Howland Hydro Station,1472,"Brookfield Black Bear Hydro, LLC",59178,Penobscot,45.2386,-68.6572,3,HYDRO
5109,2019,ME,Hydro Kennebec Project,54148,Hydro Kennebec LLC,56597,Kennebec,44.563031,-69.619162,2,HYDRO
5110,2019,ME,Indeck Jonesboro Energy Center,10765,Stored Solar J&WE,62815,Washington,44.6781,-67.5477,1,BIOMASS
5111,2019,ME,Indeck West Enfield Energy Center,10766,Stored Solar J&WE,62815,Penobscot,45.2537,-68.62792,1,BIOMASS
5112,2019,ME,International Paper Jay Hydro,50047,Eagle Creek RE LLC,57280,Franklin,44.503704,-70.220971,6,HYDRO
5113,2019,ME,International Paper Livermore Hydro,50082,Eagle Creek RE LLC,57280,Androscoggin,44.470511,-70.187333,9,HYDRO
5114,2019,ME,International Paper Riley Hydro,50081,Eagle Creek RE LLC,57280,Franklin,44.503431,-70.249137,6,HYDRO
5115,2019,ME,IOS - MEW Phase 1,61460,"IGS ORIX Solar I, LLC",61077,Somerset,44.804,-69.838,1,SOLAR
5116,2019,ME,Kibby Wind Facility,56829,"Helix Maine Wind Development, LLC",61191,Franklin,45.3853,-70.5258,2,WIND
5117,2019,ME,Lockwood Hydroelectric Facility,10066,Merimil Ltd Partnership,12401,Kennebec,44.5467,-69.6292,7,HYDRO
5118,2019,ME,Maine Independence Station,55068,Casco Bay Energy Co LLC,4966,Penobscot,44.8242,-68.7094,2,GAS
5119,2019,ME,Mars Hill Wind Farm Project,56448,"First Wind O&M, LLC",59155,Aroostook,46.54422,-67.8111,1,WIND
5120,2019,ME,Mead Rumford Cogen,10491,"ND Paper, Inc.",61813,Oxford,44.546503,-70.544286,2,GAS
5121,2019,ME,Mechanic Falls,54123,KEI (Maine) Power Management (IV) LLC,56839,Androscoggin,44.111236,-70.390673,2,HYDRO
5122,2019,ME,Medway,1474,Versant Power,1179,Penobscot,45.6078,-68.5444,4,OIL
5123,2019,ME,Medway Hydro,55288,"Brookfield Black Bear Hydro, LLC",59178,Penobscot,45.6072,-68.5453,5,HYDRO
5124,2019,ME,Messalonskee 2 (Oakland),1497,Messalonskee Stream Hydro LLC,56854,Kennebec,44.548544,-69.710404,1,HYDRO
5125,2019,ME,Messalonskee 3,1498,Messalonskee Stream Hydro LLC,56854,Kennebec,44.569872,-69.681841,1,HYDRO
5126,2019,ME,Messalonskee 5,1500,Messalonskee Stream Hydro LLC,56854,Kennebec,44.534397,-69.652232,1,HYDRO
5127,2019,ME,Milford Hydro Station,1475,"Brookfield Black Bear Hydro, LLC",59178,Penobscot,44.942064,-68.64504,6,HYDRO
5128,2019,ME,Milo PV - BD Solar 1 LLC,63894,BD Solar 1 LLC,63568,Piscataquis,45.267,-68.991,1,SOLAR
5129,2019,ME,MMWAC Resource Recovery Facility,50035,Maine Waste to Energy,22219,Androscoggin,44.067792,-70.260831,1,BIOMASS
5130,2019,ME,North Gorham,1501,Brookfield White Pine Hydro LLC,39006,Cumberland,43.802517,-70.44992,2,HYDRO
5131,2019,ME,Number Nine Wind Farm,57612,Number Nine Wind Farm LLC,56935,Aroostook,46.386944,-68.056666,1,WIND
5132,2019,ME,Oakfield Wind Project,57002,Novatus Energy,60453,Aroostook,46.058056,-68.147222,1,WIND
5133,2019,ME,Orono B,59438,"Brookfield Black Bear Hydro, LLC",59178,Penobscot,44.884444,-68.663889,3,HYDRO
5134,2019,ME,Orono Hydro Station,57184,"Brookfield Black Bear Hydro, LLC",59178,Penobscot,44.8803,-68.6647,4,HYDRO
5135,2019,ME,Otis Hydro,50080,Eagle Creek RE LLC,57280,Franklin,44.477807,-70.200759,2,HYDRO
5136,2019,ME,Oxford PV - BD Solar Oxford LLC,63897,BD Solar Oxford LLC,63565,Oxford,44.151,-70.476,1,SOLAR
5137,2019,ME,Passadumkeag Windpark LLC,59222,Southern Power Co,17650,Penobscot,45.07,-68.21,1,WIND
5138,2019,ME,Pejepscot Hydroelectric Project,50758,Topsham Hydro Partners,19013,Sagadahoc,43.957448,-70.024158,4,HYDRO
5139,2019,ME,Penobscot Energy Recovery,50051,ESOCO Orrington LLC,6036,Penobscot,44.7383,-68.8258,2,BIOMASS
5140,2019,ME,Pine Tree Landfill Gas to Energy,58993,Pine Tree Landfill,58845,Penobscot,44.768611,-68.861667,3,BIOMASS
5141,2019,ME,Pisgah Mountain Wind,60404,"Pisgah Mountain, LLC",60207,Penobscot,44.777337,-68.523419,1,WIND
5142,2019,ME,Pittsfield Hydro,54124,KEI (Maine) Power Management (II) LLC,56837,Somerset,44.721371,-69.411992,3,HYDRO
5143,2019,ME,Pumpkin Hill,50699,KEI (Maine) Power Management (II) LLC,56837,Penobscot,45.1868,-68.4649,1,HYDRO
5144,2019,ME,Record Hill Wind,57568,Record Hill Wind LLC,56909,Oxford,44.633611,-70.627777,1,WIND
5145,2019,ME,Red Shield Envir Old Town Facility,10700,MFGR LLC,56448,Penobscot,44.918063,-68.63554,5,
5146,2019,ME,ReEnergy Ashland,10356,ReEnergy Ashland LLC,1981,Aroostook,46.6334,-68.4361,1,BIOMASS
5147,2019,ME,ReEnergy Fort Fairfield,7513,ReEnergy Fort Fairfield LLC,1984,Aroostook,46.77285,-67.84849,1,BIOMASS
5148,2019,ME,ReEnergy Livermore Falls,10354,ReEnergy Livermore Falls,57432,Androscoggin,44.431667,-70.1619,1,BIOMASS
5149,2019,ME,ReEnergy Stratton LLC,50650,ReEnergy Stratton LLC,1950,Franklin,45.140614,-70.425577,1,BIOMASS
5150,2019,ME,Regional Waste Systems,50225,Ecomaine,15824,Cumberland,43.6556,-70.3347,2,BIOMASS
5151,2019,ME,Robbins Lumber,50230,Robbins Lumber Inc,16191,Waldo,44.3331,-69.2019,3,OIL
5152,2019,ME,Rollins Wind Project,56990,"First Wind O&M, LLC",59155,Penobscot,45.34598,-68.3802,1,WIND
5153,2019,ME,RoxWind,62857,RoxWind LLC,62743,Oxford,44.6148,-70.6176,1,WIND
5154,2019,ME,Rumford Cogeneration,10495,"ND Paper, Inc.",61813,Oxford,44.5513,-70.5414,3,BIOMASS
5155,2019,ME,Rumford Falls Hydro Facility,10493,Brookfield Power New England,50083,Oxford,44.5486,-70.6283,6,HYDRO
5156,2019,ME,Rumford Power,55100,Rumford Power,54821,Oxford,44.5303,-70.5219,1,GAS
5157,2019,ME,S D Warren Westbrook,50447,S D Warren Co.- Westbrook,16721,Cumberland,43.684857,-70.353152,22,BIOMASS
5158,2019,ME,Saddleback Ridge Wind Farm,58608,"Saddleback Ridge Wind, LLC",58565,Franklin,44.593333,-70.381111,2,WIND
5159,2019,ME,Salmon Falls,50702,Green Mountain Power Corp,7601,York,43.226977,-70.810888,3,HYDRO
5160,2019,ME,Samoset Solar,63551,"Samoset Solar, LLC",63275,Knox,44.168196,-69.11619,1,SOLAR
5161,2019,ME,Sanford Solar,63667,"Sanford Airport Solar, LLC",63374,York,43.4569,-70.7803,1,SOLAR
5162,2019,ME,Shawmut,1504,Brookfield White Pine Hydro LLC,39006,Somerset,44.629517,-69.583527,8,HYDRO
5163,2019,ME,Skelton,1505,Brookfield White Pine Hydro LLC,39006,York,43.5708,-70.5583,2,HYDRO
5164,2019,ME,"Solar Mule, LLC",60640,"NRG Solar Mule, LLC",60363,Kennebec,44.557725,-69.671364,1,SOLAR
5165,2019,ME,Somerset Plant,50406,Sappi Fine Paper North America-Somerset,16190,Somerset,44.703467,-69.647441,3,BIOMASS
5166,2019,ME,Spruce Mountain WInd,58026,Spruce Mountain Wind LLC,57402,Oxford,44.415587,-70.559814,1,WIND
5167,2019,ME,Squa Pan Hydro Station,1516,Algonquin Northern Maine,14597,Aroostook,46.556477,-68.325538,1,HYDRO
5168,2019,ME,Stetson Wind I,56989,"First Wind O&M, LLC",59155,Washington,45.4822,-67.9944,1,WIND
5169,2019,ME,Stetson Wind II,56991,"First Wind O&M, LLC",59155,Washington,45.61498,-67.971,1,WIND
5170,2019,ME,Stillwater B,59437,"Brookfield Black Bear Hydro, LLC",59178,Penobscot,44.912667,-68.683833,3,HYDRO
5171,2019,ME,Stillwater Hydro Station,1478,"Brookfield Black Bear Hydro, LLC",59178,Penobscot,44.9094,-68.6833,4,HYDRO
5172,2019,ME,"Three Rivers Solar Power, LLC",63386,"Three Rivers Solar Power, LLC",63140,Hancock,44.711644,-68.11,1,SOLAR
5173,2019,ME,Twin Rivers Paper Co LLC,58146,Twin Rivers Paper Co LLC,58103,Aroostook,47.358139,-68.330855,1,OTHF
5174,2019,ME,Upper Androscoggin,54202,Lewiston City of,10963,Androscoggin,44.087963,-70.212368,3,HYDRO
5175,2019,ME,Upper Barker,52171,KEI (Maine) Power Management (III) LLC,56838,Androscoggin,44.08687,-70.229294,1,HYDRO
5176,2019,ME,Veazie C,784,Versant Power,1179,Penobscot,44.836667,-68.698055,1,HYDRO
5177,2019,ME,Waste Management Crossroads LFGTE,57016,WM Renewable Energy LLC,54842,Somerset,44.7014,-69.8319,2,BIOMASS
5178,2019,ME,Weaver Wind,63132,Longroad Energy Services LLC,61219,Hancock,44.722519,-68.163611,1,WIND
5179,2019,ME,West Buxton,1508,Brookfield White Pine Hydro LLC,39006,York,43.66687,-70.602125,6,HYDRO
5180,2019,ME,West Enfield Hydro,10255,"Brookfield Black Bear Hydro, LLC",59178,Penobscot,45.2497,-68.6483,2,HYDRO
5181,2019,ME,Westbrook Energy Center,55294,Westbrook Energy Center,2891,Cumberland,43.6575,-70.375,2,GAS
5182,2019,ME,Weston Hydro,1509,Brookfield White Pine Hydro LLC,39006,Somerset,44.763875,-69.71828,4,HYDRO
5183,2019,ME,William F Wyman,1507,FPL Energy Wyman LLC,31719,Cumberland,43.7508,-70.1567,2,OIL
5184,2019,ME,Williams Hydro,1510,Brookfield White Pine Hydro LLC,39006,Somerset,44.9589,-69.8703,2,HYDRO
5185,2019,ME,"Woodland Pulp, LLC",10613,Woodland Pulp LLC,5232,Washington,45.1554,-67.4012,12,BIOMASS
5186,2019,ME,Worumbo Hydro Station,50278,Eagle Creek RE LLC,57280,Androscoggin,43.994729,-70.061921,2,HYDRO
5187,2019,ME,Wyman Hydro,1511,Brookfield White Pine Hydro LLC,39006,Somerset,45.0703,-69.9064,3,HYDRO
5188,2019,MI,48th Street Peaking Station,7258,City of Holland,8723,Allegan,42.7553,-86.0853,3,GAS
5189,2019,MI,A.J. Mihm Generating Station,61391,Upper Michigan Energy Resources Company,61029,Baraga,46.792669,-88.614009,3,GAS
5190,2019,MI,Ada Cogeneration LP,10819,Ada Cogeneration Ltd Partnership,82,Kent,42.962672,-85.494071,2,GAS
5191,2019,MI,Ada Dam,50433,"STS Hydropower, LLC",18194,Kent,42.950642,-85.485944,1,HYDRO
5192,2019,MI,Adrian Energy Associates LLC,54903,LES Project Holdings LLC,56355,Lenawee,41.890968,-83.99286,3,BIOMASS
5193,2019,MI,Alcona,1693,Consumers Energy Co,4254,Alcona,44.561961,-83.804505,2,HYDRO
5194,2019,MI,Allegan Dam,1694,Consumers Energy Co,4254,Allegan,42.563803,-85.953976,3,HYDRO
5195,2019,MI,Alpena Cement Plant,50305,Lafarge Corp,40430,Alpena,45.069929,-83.408182,5,OIL
5196,2019,MI,Alpine Power Plant,59926,Wolverine Power Supply Coop,20910,Otsego,45.063748,-84.825348,2,GAS
5197,2019,MI,Apple Blossom Wind Farm,58690,"Apple Blossom Wind, LLC",60456,Huron,43.815032,-83.315002,1,WIND
5198,2019,MI,Assembly Solar II LLC,63538,Assembly Solar II LLC,63253,Shiawassee,34.044838,-83.965138,1,SOLAR
5199,2019,MI,Assembly Solar Project,62422,"Assembly Solar I, LLC",61949,Shiawassee,43.02268,-83.94527,1,SOLAR
5200,2019,MI,Autumn Hills Generating Facility,63709,North American Natural Res,13559,Ottawa,42.783,-85.92195,3,BIOMASS
5201,2019,MI,B C Cobb,1695,Consumers Energy Co,4254,Muskegon,43.258768,-86.242268,5,
5202,2019,MI,B E Morrow,1696,Consumers Energy Co,4254,Kalamazoo,42.280222,-85.492548,2,GAS
5203,2019,MI,Battle Creek Mill,58052,RockTenn-Battle Creek Mill,57427,Calhoun,42.3221,-85.2043,2,GAS
5204,2019,MI,Bay Windpower I,55944,Bay Windpower LLC,1361,Cheboygan,45.7644,-84.7381,1,WIND
5205,2019,MI,Beaumont Hospital Dearborn Campus,50260,Beaumont Hospital Dearborn Campus,13945,Wayne,42.2917,-83.2119,8,OIL
5206,2019,MI,Beaver Island,7831,Great Lakes Energy Coop,38084,Charlevoix,45.7291,-85.5244,3,OIL
5207,2019,MI,Beebe 1A,58020,"Beebe Renewable Energy, LLC",57397,Gratiot,43.256944,-84.499722,1,WIND
5208,2019,MI,Beebe 1B,58908,"Beebe 1B Renewable Energy, LLC",58785,Gratiot,43.256944,-84.499722,1,WIND
5209,2019,MI,Belle River,6034,DTE Electric Company,5109,St Clair,42.7756,-82.495,5,COAL
5210,2019,MI,Berrien Springs,1753,Indiana Michigan Power Co,9324,Berrien,41.9439,-86.3289,12,HYDRO
5211,2019,MI,Big Quinnesec 61,7821,Wisconsin Electric Power Co,20847,Dickinson,45.7883,-88.0415,2,HYDRO
5212,2019,MI,Big Quinnesec 92,7820,Wisconsin Electric Power Co,20847,Dickinson,45.7881,-88.0408,2,HYDRO
5213,2019,MI,"Big Turtle Wind Farm, LLC",58891,Heritage Garden Wind Farm I LLC,57480,Huron,43.850833,-82.7825,2,WIND
5214,2019,MI,"Bingham Solar, LLC",63321,Geronimo Energy,62759,Clinton,43.012,-84.528,1,SOLAR
5215,2019,MI,Blue Water Energy Center,62192,DTE Electric Company,5109,St Clair,42.773716,-82.479331,3,GAS
5216,2019,MI,Blue Water Renewables Inc,57706,Blue Water Renewables Inc,57029,St Clair,42.91577,-82.594507,2,BIOMASS
5217,2019,MI,Brent Run Generating Station,54910,EDL Inc,55858,Genesee,43.17642,-83.847974,5,BIOMASS
5218,2019,MI,Brookfield,58719,DTE Electric Company,5109,Huron,43.757778,-83.297778,1,WIND
5219,2019,MI,Bryon Center,56851,EDL Inc,55858,KENT,42.7814,-85.6728,2,BIOMASS
5220,2019,MI,Buchanan (MI),1754,Indiana Michigan Power Co,9324,Berrien,41.839566,-86.35105,10,HYDRO
5221,2019,MI,C W Tippy,1698,Consumers Energy Co,4254,Manistee,44.259135,-85.939565,3,HYDRO
5222,2019,MI,Cadillac Renewable Energy,54415,Cadillac Renewable Energy LLC,55600,Wexford,44.26169,-85.435224,1,BIOMASS
5223,2019,MI,Cargill Salt,54965,Cargill Inc,2769,St Clair,42.8183,-82.4856,4,GAS
5224,2019,MI,Cargill Salt Hersey,58196,Cargill Salt Hersey,58170,Osceola,43.834167,-85.355833,1,GAS
5225,2019,MI,Caro,1874,Thumb Electric Coop of Mich,18895,Tuscola,43.4659,-83.3278,6,OIL
5226,2019,MI,Cascade Dam,50436,"STS Hydropower, LLC",18194,Kent,42.909408,-85.49888,1,HYDRO
5227,2019,MI,Cataract (MI),7118,Renewable World Energies LLC,58149,Marquette,46.3156,-87.5128,1,HYDRO
5228,2019,MI,Central Michigan University,56190,Central Michigan University,3304,Isabella,43.590456,-84.779,2,GAS
5229,2019,MI,Chalk Hill,1776,Wisconsin Electric Power Co,20847,Menominee,45.5136,-87.8011,3,HYDRO
5230,2019,MI,Chatham,58254,City of Lowell - (MI),11268,Kent,42.934444,-85.3475,2,GAS
5231,2019,MI,Cheboygan,50461,Great Lakes Tissue Co,7857,Cheboygan,45.637537,-84.481387,1,HYDRO
5232,2019,MI,Claude Vandyke,1880,Wolverine Power Supply Coop,20910,Allegan,42.731,-85.8551,3,GAS
5233,2019,MI,Clinton,1818,Village of Clinton - (MI),3813,Lenawee,42.068197,-83.976005,6,OIL
5234,2019,MI,Coldwater Peaking Plant,59467,Michigan South Central Power Agency,12807,Branch,41.919444,-85.024167,3,GAS
5235,2019,MI,Colfax,1725,DTE Electric Company,5109,Livingston,42.658653,-84.095181,5,OIL
5236,2019,MI,Conners Creek,1726,DTE Electric Company,5109,Wayne,42.3592,-82.9597,4,
5237,2019,MI,Constantine,1760,Indiana Michigan Power Co,9324,St Joseph,41.8436,-85.6694,4,HYDRO
5238,2019,MI,Cooke,1700,Consumers Energy Co,4254,Iosco,44.472624,-83.571947,3,HYDRO
5239,2019,MI,Coopersville,54756,EDL Inc,55858,Ottawa,43.047306,-85.956173,7,BIOMASS
5240,2019,MI,Crescent Wind Park,63686,Consumers Energy Co,4254,Hillsdale,41.935,-84.477,1,WIND
5241,2019,MI,Cross Winds Energy Park,58830,Consumers Energy Co,4254,Tuscola,43.610278,-83.485556,3,WIND
5242,2019,MI,Croswell,7497,City of Croswell - (MI),4562,Sanilac,43.271944,-82.613889,5,OIL
5243,2019,MI,Croton,1701,Consumers Energy Co,4254,Newaygo,43.437322,-85.664462,4,HYDRO
5244,2019,MI,Crystal Falls,1821,City of Crystal Falls,4604,Iron,46.106278,-88.334531,3,HYDRO
5245,2019,MI,Dafter,1868,Cloverland Electric Co-op,3828,Chippewa,46.37437,-84.41723,5,OIL
5246,2019,MI,Dan E Karn,1702,Consumers Energy Co,4254,Bay,43.644996,-83.840074,6,COAL
5247,2019,MI,Dayton (MI),1727,DTE Electric Company,5109,Wayne,42.1758,-83.5336,5,OIL
5248,2019,MI,Dean Peakers,55718,DTE Electric Company,5109,St Clair,42.7725,-82.4953,4,GAS
5249,2019,MI,Dearborn Energy Center,62289,DTE Electric Company,5109,Wayne,42.2969,-83.23125,3,GAS
